ID,部门,分类,任务,负责人,前置任务,状态,备注
T01,宣发,节点,宣发作图(发出去的图),小火;Vita;Abi,T51,未开始,0宣~3宣/终宣;小火主导美术团队;盐宝可能想参与由小火分配
T02,宣发,节点,宣发文案,咩咩;蜀山,,未开始,0宣~3宣/终宣;1宣之后保持weekly;定宣发节点锚定每周宣发内容
T03,宣发,物料,物料图拍摄(打样/成品效果),红白,T83,未开始,物料团队负责拍摄;物料部门对接
T04,宣发,活动,线下漫展返图,咩咩;蜀山;盐宝,,未开始,AIBA 7.18/Anime Destiny 10.31/ALA 1月初/Carrier Con 3月末/Anime Otapia(?);AX没做下次做
T05,宣发,活动,线下漫展无料发放,蜀山;盐宝;小火,T83,未开始,全员谁去谁发 还得美少女发
T06,宣发,运营,持续关注社媒账号并回答问题,咩咩;蜀山,,未开始,蜀山Secondary;转发
T07,宣发,运营,网站运营更新,盐宝,,未开始,美术部门找人更新(盐宝?)
T08,宣发,运营,保持社群活跃度(Discord英文/中文),蜀山;夜灵,,未开始,英文:早苗试试找人不保证;中文:蜀山负责
T09,财务,法务,预算估计与审核,光;Xixi;早苗,,未开始,联动各种合同
T10,财务,法务,Non-profit准备材料,光;Xixi;早苗,,未开始,
T11,财务,法务,Non-profit foundation成立,光;Xixi;早苗,T10,未开始,
T12,财务,法务,Non-profit 501c3批准以及更新宣传,光;Xixi;早苗,T11,未开始,
T13,财务,寄售,联系寄售并确认数量,光,T21,未开始,
T14,财务,寄售,确认寄售物料运输/清点/储存,红白,T13,未开始,企鹅物流
T15,财务,官谷,更新售卖网站,光,T59,未开始,啥时候弄完
T16,财务,官谷,确认KV官谷物料运输/清点/储存,红白,T83,未开始,企鹅物流
T17,商务外交,赞助,拟定合作计划与对接,光;Xixi,T18,未开始,
T18,商务外交,赞助,联系可能的赞助(食品饮料/物料厂商),光,,未开始,比如UME
T19,商务外交,参展,联动活动/摊位参展(Anime Otapia),光,,未开始,联系ONLY不包括参展;参展找宣发部门
T20,商务外交,参展,Artist Alley邀请参展,蜀山,,未开始,上次收application蜀山批
T21,商务外交,寄售,联系寄售(全员人脉reachout),红白;小火;光,,未开始,红白小火可能有人脉;光去和所有人谈分成;能抓到reliable的人帮忙
T22,场地,合同,场地调研,蜀山;光;早苗;咩咩;Fero,,未开始,主催三人组+咩咩Fero
T23,场地,合同,场地合同,光;Xixi,T22,未开始,光团
T24,场地,合同,场地保险,光;Xixi,T23,未开始,联动法务/财务
T25,场地,合同,场地安保,光;Xixi,T23,未开始,
T26,场地,合同,场地食物许可,光;Xixi,T23,未开始,
T27,场地,规划,设计场地规划(动线),蜀山;光;早苗;咩咩;Fero;老师,T23,未开始,多部门(主催+策划+舞台)
T28,场地,规划,确认场地布置详细图纸,蜀山;光;早苗;小火,T27,未开始,小火refine
T29,场地,规划,准备场地规划所需材料(胶带/警戒线),早苗;红白,T28,未开始,早苗发需求 企鹅物流组执行
T30,场地,规划,场地路线引导/停车规划,蜀山;光;早苗,T27,未开始,
T31,场地,规划,场地布置确认,光;Xixi,T28,未开始,
